?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZP_0019246>	"Abnormal(ly) decreased amount (of) retinal cone cell of mitochondrion."	
<http://purl.obolibrary.org/obo/ZP_0150298>	"Abnormal(ly) increased occurrence (of) defense response."	
<http://purl.obolibrary.org/obo/ZP_0000581>	"Abnormal accumulation of fluid in cranium."	
<http://purl.obolibrary.org/obo/ZP_0017283>	"Abnormal(ly) distributed (of) pronephric glomerulus of cell."	
<http://purl.obolibrary.org/obo/ZP_0004056>	"Abnormal(ly) increased diameter (of) posterior cardinal vein."	
<http://purl.obolibrary.org/obo/GO_0015081>		
<http://purl.obolibrary.org/obo/GO_0048796>		
<http://purl.obolibrary.org/obo/ZP_0129618>		
<http://purl.obolibrary.org/obo/ZP_0004687>	"Abnormal(ly) punctate (of) median fin fold of basement membrane."	
<http://purl.obolibrary.org/obo/ZP_0022677>	"Abnormal(ly) lacks all parts of type (of) somite 1 (somite border)."	
<http://purl.obolibrary.org/obo/ZP_0137897>	"A decrease in the level of proline in whole organism."	
<http://purl.obolibrary.org/obo/ZFA_0001495>		
<http://purl.obolibrary.org/obo/PATO_0001792>		
<http://purl.obolibrary.org/obo/ZP_0020227>	"Abnormal(ly) mislocalised (of) neuromast hair cell of synaptic ribbon."	
<http://purl.obolibrary.org/obo/ZP_0015218>	"Abnormal(ly) position (of) photoreceptor cell."	
<http://purl.obolibrary.org/obo/ZP_0002480>	"Absence of dorsal longitudinal anastomotic vessel."	
<http://purl.obolibrary.org/obo/CHEBI_26333>	"Naturally occurring compounds derived from the parent C<small><sub>20</sub></small> acid, prostanoic acid."	
<http://purl.obolibrary.org/obo/ZP_0016632>	"Abnormal(ly) increased occurrence (of) pancreatic B cell of cell population proliferation."	
<http://purl.obolibrary.org/obo/ZP_0107963>	"Abnormal(ly) quality (of) secondary neuron."	
<http://purl.obolibrary.org/obo/ZP_0141073>	"Abnormal(ly) bulbous (of) atrium."	
<http://purl.obolibrary.org/obo/ZP_0130864>	"Abnormal(ly) mislocalised (of) brain of blood."	
<http://purl.obolibrary.org/obo/ZP_0107507>	"Abnormal(ly) quality (of) ecto-epithelial cell."	
<http://purl.obolibrary.org/obo/ZP_0146826>	"Decreased qualitatively neuron differentiation in brain."	
<http://purl.obolibrary.org/obo/ZFA_0000031>		
<http://purl.obolibrary.org/obo/PATO_0000333>		
<http://purl.obolibrary.org/obo/ZP_0141826>	"Abnormal(ly) decreased distribution (of) motor neuron."	
<http://purl.obolibrary.org/obo/ZP_0013516>	"Abnormal(ly) process quality (of) pigment granule dispersal."	
<http://purl.obolibrary.org/obo/ZP_0005236>	"Abnormal(ly) inverted (of) Meckel's cartilage."	
<http://purl.obolibrary.org/obo/ZP_0152617>	"Abnormal(ly) decreased length (of) caudal fin principal ray 1."	
<http://purl.obolibrary.org/obo/GO_0044839>		
<http://purl.obolibrary.org/obo/ZP_0141052>	"Abnormal(ly) elongated (of) liver of artery."	
<http://purl.obolibrary.org/obo/ZP_0019408>	"Abnormal(ly) decreased rate (of) cardiac ventricle of cardiac muscle tissue growth."	
<http://purl.obolibrary.org/obo/ZP_0107905>	"Abnormal(ly) quality (of) middle lateral line neuromast."	
<http://purl.obolibrary.org/obo/ZP_0130940>	"Any unspecified morphological anomaly of the branchiomotor neuron, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/GO_0048797>		
<http://purl.obolibrary.org/obo/ZP_0005044>	"Abnormal(ly) neoplastic (of) eye."	
<http://purl.obolibrary.org/obo/ZP_0102266>	"Abnormal(ly) morphology (of) brainstem."	
<http://purl.obolibrary.org/obo/PATO_0001798>		
<http://purl.obolibrary.org/obo/ZP_0110177>	"Abnormal(ly) quality (of) ventricular epicardium."	
<http://purl.obolibrary.org/obo/ZP_0103120>	"Abnormal(ly) absent (of) gonad primordium."	
<http://purl.obolibrary.org/obo/ZP_0146858>	"Abnormal(ly) process quality (of) heart of calcium-mediated signaling."	
<http://purl.obolibrary.org/obo/ZP_0003399>	"Abnormal(ly) disrupted (of) rRNA catabolic process."	
<http://purl.obolibrary.org/obo/ZP_0144263>	"Abnormal(ly) disrupted (of) enteric smooth muscle cell differentiation."	
<http://purl.obolibrary.org/obo/CHEBI_23132>	"Any organochlorine compound containing a benzene ring which is substituted by one or more chlorines."	
<http://purl.obolibrary.org/obo/ZFA_0000032>		
<http://purl.obolibrary.org/obo/ZP_0142366>	"Abnormal(ly) increased size (of) peripheral nervous system of nerve."	
<http://purl.obolibrary.org/obo/ZP_0147851>	"Abnormal(ly) increased distance (of) palatoquadrate cartilage (Meckel's cartilage)."	
<http://purl.obolibrary.org/obo/ZP_0015666>	"Absence of pectoral fin lepidotrichium."	
<http://purl.obolibrary.org/obo/ZP_0010146>	"Increased width of anterior neural keel."	
<http://purl.obolibrary.org/obo/GO_0044838>		
<http://purl.obolibrary.org/obo/ZP_0154924>	"Abnormal(ly) increased thickness (of) notochord outer sheath cell."	
<http://purl.obolibrary.org/obo/ZP_0110006>	"Abnormality of hatching gland cell."	
<http://purl.obolibrary.org/obo/GO_1904170>		
<http://purl.obolibrary.org/obo/GO_0048798>		
<http://purl.obolibrary.org/obo/ZP_0141057>	"Abnormal(ly) hemorrhagic (of) head of blood vessel."	
<http://purl.obolibrary.org/obo/ZP_0020915>	"Abnormal(ly) blurry (of) somite border."	
<http://purl.obolibrary.org/obo/GO_0000380>		
<http://purl.obolibrary.org/obo/ZP_0021429>	"Abnormal(ly) absent (of) caudal fin of mesenchyme."	
<http://purl.obolibrary.org/obo/ZP_0006444>	"Any structural anomaly of retinal neural layer that causes there to be fewer parts of type retinal rod cell."	
<http://purl.obolibrary.org/obo/GO_0016020>		
<http://purl.obolibrary.org/obo/ZP_0001728>	"Abnormal(ly) process quality (of) branching involved in lymph vessel morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0020523>	"Abnormal(ly) increased distribution (of) head."	
<http://purl.obolibrary.org/obo/ZP_0011021>	"Decreased qualitatively embryonic heart tube left/right pattern formation."	
<http://purl.obolibrary.org/obo/ZP_0109329>	"Abnormality of vertebra 29."	
<http://purl.obolibrary.org/obo/ZP_0005627>	"Abnormal morphogenesis of embryonic epithelium."	
<http://purl.obolibrary.org/obo/CHEBI_50160>	"Any anion formed by loss of a proton from a steroid acid."	
<http://purl.obolibrary.org/obo/ZP_0013150>	"Abnormal(ly) present (of) pancreas primordium."	
<http://purl.obolibrary.org/obo/PATO_0000331>		
<http://purl.obolibrary.org/obo/ZP_0100085>	"Abnormal(ly) decreased process quality (of) pronephros development."	
<http://purl.obolibrary.org/obo/ZP_0015375>	"The presence of one or more abnormal holes in axial vasculature."	
<http://purl.obolibrary.org/obo/GO_0015085>		
<http://purl.obolibrary.org/obo/ZP_0152686>	"Abnormal(ly) low brightness (of) retinal pigmented epithelium."	
<http://purl.obolibrary.org/obo/ZP_0009479>	"Decreased qualitatively hepaticobiliary system process."	
<http://purl.obolibrary.org/obo/ZFA_0000033>		
<http://purl.obolibrary.org/obo/ZP_0103445>	"The presence of a reduced number of unfertilized egg."	
<http://purl.obolibrary.org/obo/ZP_0020875>	"Abnormal(ly) absent (of) pharyngeal vasculature."	
<http://purl.obolibrary.org/obo/ZP_0102489>	"Abnormal(ly) increased amount (of) neuromast hair cell of calcium channel complex."	
<http://purl.obolibrary.org/obo/ZP_0006592>	"Abnormal(ly) increased process quality (of) intrinsic apoptotic signaling pathway."	
<http://purl.obolibrary.org/obo/GO_1904171>		
<http://purl.obolibrary.org/obo/ZP_0002707>	"Abnormal(ly) structure (of) heart."	
<http://purl.obolibrary.org/obo/GO_0048799>		
<http://purl.obolibrary.org/obo/ZP_0012901>	"Abnormal(ly) morphology (of) posterior macula."	
<http://purl.obolibrary.org/obo/ZP_0100246>	"Abnormal(ly) decreased occurrence (of) determination of digestive tract left/right asymmetry."	
<http://purl.obolibrary.org/obo/ZP_0106660>	"Abnormal(ly) process quality (of) ventricular myocardium of ventricular cardiac muscle tissue morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0012937>	"A morphological abnormality of the ciliated cell in the Kupffer's vesicle."	
<http://purl.obolibrary.org/obo/CHEBI_46398>	"A nucleoside triphosphate(4−) obtained by global deprotonation of the triphosphate OH groups of UTP; major species present at pH 7.3."	
<http://purl.obolibrary.org/obo/ZP_0019743>	"Abnormal(ly) decreased occurrence (of) thymus of hematopoietic stem cell migration."	
<http://purl.obolibrary.org/obo/ZP_0013473>	"Abnormal(ly) morphology (of) ventricular myocardium."	
<http://purl.obolibrary.org/obo/PATO_0001795>		
<http://purl.obolibrary.org/obo/ZP_0101287>	"The presence of a reduced number of macrophage in the head kidney."	
<http://purl.obolibrary.org/obo/ZP_0155482>	"Abnormal(ly) delayed (of) gonad of spermatogenesis."	
<http://purl.obolibrary.org/obo/ZP_0139955>	"Abnormal(ly) separated from (of) caudal fin lepidotrichium (caudal fin lepidotrichium)."	
<http://purl.obolibrary.org/obo/ZP_0015463>	"Abnormal(ly) process quality (of) myeloid cell activation involved in immune response."	
<http://purl.obolibrary.org/obo/ZP_0138586>	"The presence of an increased number of melanocyte in the dorsal larval melanophore stripe."	
<http://purl.obolibrary.org/obo/ZP_0009897>	"Abnormal(ly) differentiated (of) opercular flap of osteoclast."	
<http://purl.obolibrary.org/obo/ZP_0146583>	"Abnormal(ly) decreased area (of) otolith."	
<http://purl.obolibrary.org/obo/ZP_0144097>	"A decrease in the level of UTP in whole organism."	
<http://purl.obolibrary.org/obo/ZP_0007955>	"Abnormal(ly) fused with (of) opercle (interopercle)."	
<http://purl.obolibrary.org/obo/ZP_0149737>	"Abnormal regulation of estradiol secretion."	
<http://purl.obolibrary.org/obo/ZFA_0000034>		
<http://purl.obolibrary.org/obo/ZP_0144920>	"Abnormal(ly) increased size (of) caudal fin blood vessel."	
<http://purl.obolibrary.org/obo/CHEBI_33645>	"Acyclic branched or unbranched hydrocarbons having one or more carbon-carbon double bond."	
<http://purl.obolibrary.org/obo/ZP_0012503>	"Abnormal(ly) morphology (of) trunk of neuromuscular junction."	
<http://purl.obolibrary.org/obo/ZFA_0001499>		
<http://purl.obolibrary.org/obo/ZP_0104347>	"An abnormally localised branchiomotor neuron."	
<http://purl.obolibrary.org/obo/ZP_0108329>	"Abnormal(ly) quality (of) olfactory placode."	
<http://purl.obolibrary.org/obo/ZP_0010686>	"Abnormal(ly) truncated (of) cranial nerve II."	
<http://purl.obolibrary.org/obo/ZP_0106000>	"Abnormal(ly) decreased occurrence (of) central artery of blood vessel morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0003900>	"Abnormal(ly) undulate (of) median fin fold of epithelium."	
<http://purl.obolibrary.org/obo/ZP_0146939>	"Abnormal(ly) fused with (of) exoccipital (exoccipital)."	
<http://purl.obolibrary.org/obo/PATO_0001796>		
<http://purl.obolibrary.org/obo/ZP_0001263>	"Abnormal(ly) process quality (of) mechanosensory behavior."	
<http://purl.obolibrary.org/obo/ZP_0109342>	"Abnormality of pectoral fin motor nerve 2."	
<http://purl.obolibrary.org/obo/ZP_0004433>	"Abnormal(ly) arrested (of) somitogenesis."	
<http://purl.obolibrary.org/obo/ZP_0102908>	"Abnormal spatial pattern of primary dental epithelium."	
<http://purl.obolibrary.org/obo/GO_1904172>		
<http://purl.obolibrary.org/obo/ZP_0109666>	"Abnormal(ly) quality (of) sperm duct."	
<http://purl.obolibrary.org/obo/ZP_0002529>	"Increased width of floor plate."	
<http://purl.obolibrary.org/obo/ZP_0100700>	"Partial or complete wasting (loss) of pelvic fin tissue that was once present."	
<http://purl.obolibrary.org/obo/ZP_0011415>	"Abnormal(ly) process quality (of) posterior lateral line nerve development."	
<http://purl.obolibrary.org/obo/ZP_0109301>	"Abnormal(ly) quality (of) commissura rostral, pars dorsalis."	
<http://purl.obolibrary.org/obo/ZP_0105933>	"Abnormal(ly) mislocalised (of) micropylar cell."	
<http://purl.obolibrary.org/obo/ZP_0005370>	"Abnormal(ly) mislocalized adaxially (of) forebrain of retinal pigmented epithelium."	
<http://purl.obolibrary.org/obo/ZP_0005955>	"Abnormal(ly) degenerate (of) spinal cord of neuron."	
<http://purl.obolibrary.org/obo/ZP_0107190>	"Abnormal(ly) decreased process quality (of) myeloid cell of cell migration."	
<http://purl.obolibrary.org/obo/ZP_0109698>	"Abnormality of fast muscle cell somite 29."	
<http://purl.obolibrary.org/obo/ZP_0000751>	"Abnormal(ly) absent (of) nucleate erythrocyte."	
<http://purl.obolibrary.org/obo/ZP_0109767>	"Abnormal(ly) quality (of) dermal deep region."	
<http://purl.obolibrary.org/obo/ZP_0100263>	"An increased occurrence of apoptotic process in diencephalon."	
<http://purl.obolibrary.org/obo/ZP_0007208>	"Any structural anomaly that causes chondrocyte to be shape shaped."	
<http://purl.obolibrary.org/obo/GO_1902600>		
<http://purl.obolibrary.org/obo/ZP_0015411>	"Abnormal(ly) arrested (of) pigment granule dispersal."	
<http://purl.obolibrary.org/obo/ZP_0142058>	"Abnormal(ly) process quality (of) oxygen metabolic process."	
<http://purl.obolibrary.org/obo/ZP_0014601>	"Abnormal(ly) has fewer parts of type (of) Kupffer's vesicle (ciliated cell of outer dynein arm)."	
<http://purl.obolibrary.org/obo/ZP_0008953>	"Abnormal(ly) decreased size (of) cranial nerve III."	
<http://purl.obolibrary.org/obo/ZP_0100286>	"Absence or underdevelopment of the pharyngeal arch 3-7."	
<http://purl.obolibrary.org/obo/ZP_0003627>	"Abnormal(ly) increased width (of) segmental plate."	
<http://purl.obolibrary.org/obo/ZP_0154343>	"Abnormal(ly) increased amount (of) interrenal gland."	
<http://purl.obolibrary.org/obo/ZP_0011272>	"Abnormal(ly) process quality (of) vH ionocyte of regulation of pH."	
<http://purl.obolibrary.org/obo/ZP_0145547>	"Abnormal(ly) absent (of) pharyngeal arch 2 of posterior side."	
<http://purl.obolibrary.org/obo/ZP_0152875>	"Abnormal(ly) disorganized (of) hyosymplectic cartilage of nucleus."	
<http://purl.obolibrary.org/obo/ZP_0145574>	"Abnormal(ly) decreased process quality (of) regulation of actin cytoskeleton organization."	
<http://purl.obolibrary.org/obo/ZP_0110229>	"Abnormality of Leydig cell."	
<http://purl.obolibrary.org/obo/ZP_0018535>	"A decreased occurrence of oligodendrocyte progenitor proliferation."	
<http://purl.obolibrary.org/obo/GO_1900206>		
<http://purl.obolibrary.org/obo/GO_0015925>		
<http://purl.obolibrary.org/obo/ZFA_0000040>		
<http://purl.obolibrary.org/obo/ZP_0021574>	"Abnormal(ly) disoriented (of) yolk of microtubule."	
<http://purl.obolibrary.org/obo/ZP_0146489>	"Abnormal(ly) normal duration (of) startle response."	
<http://purl.obolibrary.org/obo/ZP_0147406>	"Abnormal(ly) increased amount (of) posterior crista of kinocilium."	
<http://purl.obolibrary.org/obo/GO_0042445>		
<http://purl.obolibrary.org/obo/CHEBI_456215>	"A nucleoside 5'-monophosphate(2−) that results from the removal of two protons from the phosphate group of adenosine 5'-monophosphate (AMP)."	
<http://purl.obolibrary.org/obo/GO_0019882>		
<http://purl.obolibrary.org/obo/ZP_0103758>	"Abnormal(ly) disrupted (of) scale of growth."	
<http://purl.obolibrary.org/obo/BSPO_0000202>		
<http://purl.obolibrary.org/obo/ZP_0106121>	"Abnormal(ly) absent (of) cardiac ventricle of I band."	
<http://purl.obolibrary.org/obo/ZP_0019618>	"The presence of a reduced number of hypothalamus."	
<http://purl.obolibrary.org/obo/ZP_0130876>	"Decreased qualitatively atrioventricular canal morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0004137>	"An abnormally formed/malformed renal glomerulus in pronephros."	
<http://purl.obolibrary.org/obo/ZP_0023055>	"Abnormal(ly) occurrence (of) eating behavior."	
<http://purl.obolibrary.org/obo/ZP_0100477>	"Abnormal(ly) increased process quality (of) hepatocyte of inflammatory response."	
<http://purl.obolibrary.org/obo/ZP_0148246>	"Abnormal(ly) decreased size (of) immature gonad."	
<http://purl.obolibrary.org/obo/ZP_0106095>	"Abnormal(ly) absent (of) podocyte."	
<http://purl.obolibrary.org/obo/ZP_0149112>	"Any structural anomaly that causes vasculature in the retina to be increased branchiness shaped."	
<http://purl.obolibrary.org/obo/ZP_0146161>	"Abnormal(ly) decreased amount (of) optic cup of dorsal region."	
<http://purl.obolibrary.org/obo/ZP_0153969>	"Abnormal(ly) increased occurrence (of) neural crest of response to zinc ion."	
<http://purl.obolibrary.org/obo/CHEBI_76857>	"An EC 1.3.* (oxidoreductase acting on donor CH-CH group) inhibitor that interferes with the action of any such enzyme using NAD<small><sup>+</small></sup> or NADP<small><sup>+</small></sup> as acceptor (EC 1.3.1.*)."	
<http://purl.obolibrary.org/obo/ZP_0145867>	"Abnormal(ly) increased amount (of) post-vent region of advanced glycation end-product."	
<http://purl.obolibrary.org/obo/CHEBI_64569>	"An acyl-<em>sn</em>-glycero-3-phosphoethanolamine in which the acyl group contains twenty carbons and four double bonds. If R1 is an acyl group and R2 is a hydrogen then the molecule is a 1-acyl-<em>sn</em>-glycero-3-phosphoethanolamine. If R1 is a hydrogen and R2 is an acyl group then the molecule is a 2-acyl-<em>sn</em>-glycero-3-phosphoethanolamine."	
<http://purl.obolibrary.org/obo/ZP_0106361>	"Partial or complete wasting (loss) of pharynx tissue that was once present."	
<http://purl.obolibrary.org/obo/ZP_0131246>	"Abnormal(ly) disrupted (of) ovarian follicle development."	
<http://purl.obolibrary.org/obo/ZP_0143560>	"Abnormal(ly) decreased efficacy (of) detection of mechanical stimulus involved in sensory perception of sound."	
<http://purl.obolibrary.org/obo/ZP_0142900>	"Abnormal(ly) normal process quality (of) whole organism of response to lipopolysaccharide."	
<http://purl.obolibrary.org/obo/ZP_0007715>	"Abnormal(ly) increased amount (of) rhombomere 4."	
<http://purl.obolibrary.org/obo/ZP_0005371>	"Abnormal(ly) increased occurrence (of) macula utricle of cell death."	
<http://purl.obolibrary.org/obo/ZP_0103301>	"Abnormal notochord development."	
<http://purl.obolibrary.org/obo/ZP_0106087>	"Any structural anomaly that causes there to be an abnormal number oocyte stage III in ovary."	
<http://purl.obolibrary.org/obo/ZFA_0000041>		
<http://purl.obolibrary.org/obo/CHEBI_14105>		
<http://purl.obolibrary.org/obo/GO_0019883>		
<http://purl.obolibrary.org/obo/ZP_0109450>	"Abnormal(ly) quality (of) adductor hyohyoid."	
<http://purl.obolibrary.org/obo/ZP_0007464>	"Decreased length or shortening of the axis in the whole organism."	
<http://purl.obolibrary.org/obo/ZP_0141695>	"Abnormal(ly) disrupted (of) prechordal plate of cell migration."	
<http://purl.obolibrary.org/obo/ZP_0145919>	"Increased qualitatively autophagy in whole organism."	
<http://purl.obolibrary.org/obo/ZP_0151618>	"Abnormal(ly) normal length (of) pancreas."	
<http://purl.obolibrary.org/obo/CHEBI_26401>	"A class of imidazopyrimidines that consists of purine and its substituted derivatives."	
<http://purl.obolibrary.org/obo/ZP_0100993>	"Abnormal(ly) shape (of) vertical myoseptum."	
<http://purl.obolibrary.org/obo/ZP_0008420>	"Abnormal(ly) deformed (of) pronephros."	
<http://purl.obolibrary.org/obo/ZP_0131190>	"Abnormal(ly) structure (of) dorsolateral septum."	
<http://purl.obolibrary.org/obo/ZP_0021600>	"Abnormal(ly) mislocalised (of) neuron of cell body."	
<http://purl.obolibrary.org/obo/ZP_0000425>	"Abnormal(ly) decreased size (of) fourth ventricle."	
<http://purl.obolibrary.org/obo/ZP_0144174>	"Abnormal(ly) absent (of) female organism of unfertilized egg."	
<http://purl.obolibrary.org/obo/ZP_0143534>	"Any structural anomaly that causes centrum to be irregularly shaped shaped."	
<http://purl.obolibrary.org/obo/ZP_0102412>	"Abnormal(ly) absent (of) paraxial mesoderm."	
<http://purl.obolibrary.org/obo/ZP_0007399>	"Abnormal(ly) decreased amount (of) scale."	
<http://purl.obolibrary.org/obo/ZP_0148573>	"Abnormal(ly) absent (of) dorsal thalamus of lateral margin."	
<http://purl.obolibrary.org/obo/ZP_0003938>	"Abnormal(ly) malformed (of) forebrain."	
<http://purl.obolibrary.org/obo/ZP_0020938>	"Abnormal(ly) decreased occurrence (of) parachordal vessel of angiogenesis."	
<http://purl.obolibrary.org/obo/ZP_0007191>	"An increased occurrence of sulfation."	
<http://purl.obolibrary.org/obo/ZFA_0000042>		
<http://purl.obolibrary.org/obo/ZP_0015057>	"Abnormal(ly) morphology (of) hatching gland."	
<http://purl.obolibrary.org/obo/ZP_0144735>	"Decreased qualitatively bone regeneration in caudal fin principal ray."	
<http://purl.obolibrary.org/obo/ZP_0142970>	"Abnormal(ly) normal amount (of) whole organism of UDP-N-acetyl-alpha-D-glucosamine."	
<http://purl.obolibrary.org/obo/ZP_0101411>	"Decreased qualitatively intrahepatic bile duct development in liver."	
<http://purl.obolibrary.org/obo/ZP_0141595>	"Abnormal(ly) disrupted (of) Meckel's cartilage of chondrocyte morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0105706>	"Abnormal spatial pattern of Reissner's fiber."	
<http://purl.obolibrary.org/obo/GO_1901668>		
<http://purl.obolibrary.org/obo/ZP_0155089>	"Abnormal(ly) increased process quality (of) nervous system of apoptotic process."	
<http://purl.obolibrary.org/obo/ZP_0109414>	"Abnormality of otic squamous epithelium."	
<http://purl.obolibrary.org/obo/ZP_0008015>	"Abnormal(ly) decreased functionality (of) intrahepatic bile duct."	
<http://purl.obolibrary.org/obo/ZP_0016117>	"Abnormal(ly) morphology (of) uroneural."	
<http://purl.obolibrary.org/obo/ZP_0146011>	"Increased qualitatively cell division in skeletal muscle."	
<http://purl.obolibrary.org/obo/ZP_0008019>	"Abnormal(ly) elongated (of) cardiac muscle cell."	
<http://purl.obolibrary.org/obo/ZFS_0000012>		
<http://purl.obolibrary.org/obo/ZP_0131214>	"The presence of a reduced number of migratory neural crest cell."	
<http://purl.obolibrary.org/obo/GO_0044843>		
<http://purl.obolibrary.org/obo/ZP_0015591>	"Abnormal(ly) decreased amount (of) cell of chromosome."	
<http://purl.obolibrary.org/obo/ZP_0002927>	"Abnormal(ly) increased diameter (of) pronephric duct."	
<http://purl.obolibrary.org/obo/CHEBI_17933>	"A hydroxycalciol that is calciol in which the hydrogen at position 25 has been replaced by a hydroxy group. A prehormone resulting from the oxidation of calciol in the liver, it is further hydroxylated in the kidney to give calcitriol, the active form of vitamin D<small><sub>3</sub></small>."	
<http://purl.obolibrary.org/obo/ZP_0102331>	"Abnormal(ly) has extra parts of type (of) olfactory epithelium (T cell)."	
<http://purl.obolibrary.org/obo/ZP_0104783>	"Abnormal(ly) decreased amount (of) interhyal-hyosymplectic joint."	
<http://purl.obolibrary.org/obo/GO_0019885>		
<http://purl.obolibrary.org/obo/ZP_0141799>	"Abnormal(ly) decreased amount (of) hyaloid vessel of mural cell."	
<http://purl.obolibrary.org/obo/ZP_0001483>	"decreased thigmotaxis."	
<http://purl.obolibrary.org/obo/ZP_0102792>	"Abnormal(ly) lacks all parts of type (of) heart (nucleate erythrocyte)."	
<http://purl.obolibrary.org/obo/ZP_0155805>	"Abnormal(ly) present (of) pectoral fin actinotrichium."	
<http://purl.obolibrary.org/obo/ZP_0014147>	"Abnormal(ly) present (of) hypobranchial cartilage."	
<http://purl.obolibrary.org/obo/ZP_0003140>	"Abnormal(ly) apoptotic (of) retinal ganglion cell layer."	
<http://purl.obolibrary.org/obo/ZP_0151280>	"Abnormal(ly) process quality (of) brain of regulation of superoxide dismutase activity."	
<http://purl.obolibrary.org/obo/ZP_0137967>	"Abnormal(ly) process quality (of) Mauthner neuron of axon regeneration."	
<http://purl.obolibrary.org/obo/ZP_0003297>	"Disorganization of pharyngeal pouch."	
<http://purl.obolibrary.org/obo/ZP_0015844>	"Abnormal(ly) process quality (of) response to chemical."	
<http://purl.obolibrary.org/obo/ZP_0145844>	"A decrease in the level of very-low-density lipoprotein in liver."	
<http://purl.obolibrary.org/obo/ZP_0011531>	"Abnormal(ly) decreased process quality (of) convergent extension involved in axis elongation."	
<http://purl.obolibrary.org/obo/GO_0000375>		
<http://purl.obolibrary.org/obo/ZP_0147306>	"Abnormal(ly) decreased process quality (of) melanocyte of cellular pigment accumulation."	
<http://purl.obolibrary.org/obo/ZP_0151987>	"Abnormal(ly) decreased size (of) dopaminergic neuron."	
<http://purl.obolibrary.org/obo/ZP_0022975>	"Abnormal(ly) decreased process quality (of) lateral rectus of skeletal muscle tissue regeneration."	
<http://purl.obolibrary.org/obo/GO_0015929>		
<http://purl.obolibrary.org/obo/ZP_0020552>	"An abnormal position of the melanocyte in the epidermis."	
<http://purl.obolibrary.org/obo/ZFS_0000013>		
<http://purl.obolibrary.org/obo/ZP_0109105>	"Abnormal(ly) quality (of) band form neutrophil."	
<http://purl.obolibrary.org/obo/ZP_0146940>	"Abnormal(ly) deformed (of) tripus."	
<http://purl.obolibrary.org/obo/ZP_0155141>	"Abnormal(ly) mislocalised (of) lens fiber cell of deep region."	
<http://purl.obolibrary.org/obo/ZP_0106813>	"Abnormal(ly) increased amount (of) regenerating tissue of spinal cord."	
<http://purl.obolibrary.org/obo/ZP_0018874>	"Abnormal(ly) decreased amount (of) liver of cysteine."	
<http://purl.obolibrary.org/obo/ZP_0017616>	"Abnormal(ly) decreased process quality (of) hypothalamus of neurogenesis."	
<http://purl.obolibrary.org/obo/ZP_0010826>	"Abnormal(ly) accumulation (of) leukocyte (heart of anatomical region)."	
<http://purl.obolibrary.org/obo/ZP_0003627>	"Increased width of segmental plate."	
<http://purl.obolibrary.org/obo/ZP_0155849>	"Abnormal(ly) decreased amount (of) whole organism of monounsaturated fatty acid."	
<http://purl.obolibrary.org/obo/ZP_0017766>	"Abnormal(ly) disrupted (of) cranial nerve II of axon regeneration."	
<http://purl.obolibrary.org/obo/ZP_0147694>	"Abnormal(ly) disrupted (of) central artery of sprouting angiogenesis."	
<http://purl.obolibrary.org/obo/ZP_0148162>	"Abnormal(ly) hypoplastic (of) immature gonad."	
<http://purl.obolibrary.org/obo/ZP_0138458>	"Abnormal(ly) decreased process quality (of) hypophyseal capillary of pore complex assembly."	
<http://purl.obolibrary.org/obo/PATO_0001790>		
<http://purl.obolibrary.org/obo/ZP_0005141>	"Abnormal(ly) arrested (of) pectoral fin morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0102050>	"Abnormal(ly) increased length (of) oligodendrocyte of myelin sheath."	
<http://purl.obolibrary.org/obo/ZP_0007057>		
<http://purl.obolibrary.org/obo/ZP_0006881>	"Abnormal color of whole organism."	
<http://purl.obolibrary.org/obo/ZP_0156095>	"Abnormal(ly) amount (of) muscle cell of peroxisome."	
<http://purl.obolibrary.org/obo/GO_1900207>		
<http://purl.obolibrary.org/obo/GO_0015926>		
<http://purl.obolibrary.org/obo/ZP_0002977>	"Abnormal(ly) increased process quality (of) feeding behavior."	
<http://purl.obolibrary.org/obo/GO_0019887>		
<http://purl.obolibrary.org/obo/ZP_0107873>	"Abnormality of postovulatory follicle."	
<http://purl.obolibrary.org/obo/ZP_0147493>	"Abnormal(ly) decreased process quality (of) intestinal epithelial cell of ribosome biogenesis."	
<http://purl.obolibrary.org/obo/ZP_0020403>	"Abnormal dilation of caudal artery."	
<http://purl.obolibrary.org/obo/ZP_0149921>	"Abnormal(ly) decreased amount (of) nephron of ciliated cell."	
<http://purl.obolibrary.org/obo/ZP_0149134>	"Abnormal(ly) decreased process quality (of) histone methyltransferase activity."	
<http://purl.obolibrary.org/obo/ZP_0145181>	"Abnormal(ly) decreased process quality (of) cranium of ossification."	
<http://purl.obolibrary.org/obo/ZP_0108110>	"Abnormality of neuroepithelial cell."	
<http://purl.obolibrary.org/obo/ZP_0110265>	"Abnormal(ly) quality (of) superior reticular formation tegmentum."	
<http://purl.obolibrary.org/obo/ZP_0011022>	"Abnormal(ly) decreased process quality (of) pronephros morphogenesis."	
